ID,ID (letter),Name,Year,Milestone,Project length (miles),  Expected cost (millions), Expected 5309 contribution (millions) ,  Expected other federal funds (millions),Expected opening,Author
512,,Northstar Corridor Rail,2007,FFGA/PCGA ,40.1,317.38,156.81,5.18,2010,zi
512,,Northstar Corridor Rail,2009,Project Opening,40,308.5,156.81,NAV,2009,zi
513,,Southwest Light Rail Transit,2011,Preliminary Engineering,15.8,"1,250.48",625.24,NA,2017,zi
513,,Southwest Light Rail Transit,2011,Project Development,15.7,"1,653.45",826.72,NA,2020,zi
513,,Southwest Light Rail Transit,2016,Preliminary Engineering,14.5,"1,857.68",928.84,NA,2021,zi
513,,Southwest Light Rail Transit,2016,Preliminary Engineering,14.5,"2,003.15",928.84,NA,2023,zi
513,,Southwest Light Rail Transit,2020,FFGA/PCGA ,14.5,"2,003.15",928.84,9.85,2024,zi
514,,METRO Blue Line Extension,2014,Project Development,13,"1,002.00",510,NA,2020,zi
514,,METRO Blue Line Extension,2016,Preliminary Engineering,13.5,"1,536.18",752.7,NA,2021,zi
514,,METRO Blue Line Extension,2016,Preliminary Engineering,13.5,"1,536.18",752.7,NA,2025,zi
515,,METRO Orange Line Bus Rapid Transit Project,2014,Project Development,17.3,150.7,74.08,8.8,2022,zi
515,,METRO Orange Line Bus Rapid Transit Project,2014,Project Development,17,150.7,64.63,NA,2019,zi
515,,METRO Orange Line Bus Rapid Transit Project,2020,FFGA/PCGA ,17.3,150.7,74.08,8.8,2022,zi
516,,Hiawatha Corridor LRT,1999,Preliminary Engineering,12.2,446,223,NA,NAV,zi
516,,Hiawatha Corridor LRT,2000,Final Design,11.5,548.6,274.3,NA,NAV,zi
516,,Hiawatha Corridor LRT,2001,FFGA/PCGA ,11.6,675.4,334.28,49.5,2004,zi
516,,Hiawatha Corridor LRT,2004,Project Opening,11.6,715.3,334.28,49.8,2004,zi
517,,Central Corridor LRT,2006,Preliminary Engineering,11,932.3,465.2,NA,2014,zi
517,,Central Corridor LRT,2006,Preliminary Engineering,9.7,914.9,452.94,NA,2013,zi
517,,Central Corridor LRT,2010,Final Design,11,956.9,473.95,4.5,2014,zi
517,,Central Corridor LRT,2011,FFGA/PCGA ,9.8,956.9,473.95,4.5,2014,zi
517,,Central Corridor LRT,2014,Project Opening,9.7,926.5,473.95,4.5,2014,zi
518,,METRO Gold Bus Rapid Transit,2018,Project Development,10.3,460.9,207.41,4.4,2024,zi
518,,METRO Gold Bus Rapid Transit,2018,Project Development,9,420,189,NA,2024,zi
519,,Rochester Downtown Circulator Bus Rapid Transit,2020,Project Development,4,203,99.5,NA,2025,zi
520,,Wilmington to Newark Commuter Rail Improvements,2004,Preliminary Engineering,1.5,54.9,24.9,9.9,2009,zi
520,,Wilmington to Newark Commuter Rail Improvements,2004,Preliminary Engineering,1.5,68.67,24.9,9.9,2010,zi
520,,Wilmington to Newark Commuter Rail Improvements,2007,Final Design,1.5,78.42,24.99,12.8,2010,zi
520,,Wilmington to Newark Commuter Rail Improvements,2020,Project Opening,1.5,71.2,NAV,NAV,2020,zi
521,,LYNX Blue Line Extension - Northeast Corridor,2007,Preliminary Engineering,10.7,748.96,374.48,NA,2012,zi
521,,LYNX Blue Line Extension - Northeast Corridor,2007,Preliminary Engineering,10.6,"1,180.03",590.02,NA,2019,zi
521,,LYNX Blue Line Extension - Northeast Corridor,2007,Preliminary Engineering,9.3,"1,069.20",534.6,NA,2016,zi
521,,LYNX Blue Line Extension - Northeast Corridor,2012,Final Design,9.3,"1,160.08",580.04,NA,2018,zi
521,,LYNX Blue Line Extension - Northeast Corridor,2012,FFGA/PCGA ,9.3,"1,160.08",580.04,NA,2018,zi
521,,LYNX Blue Line Extension - Northeast Corridor,2018,Project Opening,9.3,"1,160.00",NAV,NA,2018,zi
522,,CityLYNX Gold Line Phase 2 Streetcar,2014,Project Development,2.5,126,63,NA,2019,zi
522,,CityLYNX Gold Line Phase 2 Streetcar,2014,Project Development,2.5,150,74.99,NA,2019,zi
522,,CityLYNX Gold Line Phase 2 Streetcar,2016,FFGA/PCGA ,2.5,150,74.99,NA,2019,zi
523,,Blue Line Capacity Expansion,2015,Project Development,7.5,40.2,24.1,NA,2021,zi
524,,South Corridor Light Rail Project,2000,Preliminary Engineering,11,331.1,166.8,NA,2005,zi
524,,South Corridor Light Rail Project,2000,Preliminary Engineering,11.2,348.2,174.1,NA,2005,zi
524,,South Corridor Light Rail Project,2000,Preliminary Engineering,9.6,370,185.4,NA,2006,zi
524,,South Corridor Light Rail Project,2003,Final Design,9.6,398.7,192.94,6.41,2007,zi
524,,South Corridor Light Rail Project,2003,Final Design,9.6,385.9,193,NA,2006,zi
524,,South Corridor Light Rail Project,2005,FFGA/PCGA ,9.6,426.84,192.94,6.41,2007,zi
524,,South Corridor Light Rail Project,2007,FFGA/PCGA ,9.6,462.75,192.94,6.41,2007,zi
524,,South Corridor Light Rail Project,2009,Project Opening,9.6,462.75,192.94,6.41,2007,zi
525,,Durham-Orange LRT,2014,Project Development,17.1,"1,800.00",910.3,NA,2026,zi
525,,Durham-Orange LRT,2017,Preliminary Engineering,17.8,"2,476.30","1,238.20",NA,2028,zi
525,,Durham-Orange LRT,2019,Project Cancelled,NAV,NAV,NAV,NAV,NAV,zi
526,,Research Triangle Regional Rail System,1998,Preliminary Engineering,34.7,754.7,377.3,14,2004,zi
526,,Research Triangle Regional Rail System,1998,Preliminary Engineering,35.2,754.8,377.3,14,NAV,zi
526,,Research Triangle Regional Rail System,1998,Preliminary Engineering,35.1,832.2,447,14,NAV,zi
526,,Research Triangle Regional Rail System,1998,Preliminary Engineering,35,284,111,31,NAV,zi
526,,Research Triangle Regional Rail System,2004,Final Design,35.2,843.8,413.5,5,NAV,zi
526,,Research Triangle Regional Rail System,2004,Final Design,28.1,809.9,485.4,12,NAV,zi
526,,Research Triangle Regional Rail System,2004,Final Design,32,694.6,416.1,NAV,NAV,zi
526,,Research Triangle Regional Rail System,2006,Project Cancelled,NAV,NAV,NAV,NAV,NAV,zi
527,,North-South BRT,2016,Project Development,8.2,105.9,84.7,NA,2020,zi
527,,North-South BRT,2016,Project Development,8.2,141.39,100,NA,2024,zi
528,,Wake Bus Rapid Transit: New Bern Avenue Project,2019,Project Development,5,71.45,35.05,0.6,2023,zi
529,,Lowcountry Rapid Transit Project,2020,Project Development,26,387.5,NAV,NA,2025,zi
530,,IndyGO Purple Line BRT,2017,Project Development,14.8,140,70,10.81,2021,zi
530,,IndyGO Purple Line BRT,2017,Project Development,14.8,139.47,69.66,19.34,2020,zi
530,,IndyGO Purple Line BRT,2017,Project Development,14.8,155,77.5,21.93,2023,zi
531,,Red Line All-Electric BRT,2015,Project Development,13.1,96.33,74.99,2.07,2018,zi
531,,Red Line All-Electric BRT,2019,Project Opening,13.1,96.33,74.99,2.07,2019,zi
532,,IndyGO Blue Line Rapid Transit,2019,Project Development,24,220,100,14.5,2025,zi
532,,IndyGO Blue Line Rapid Transit,2019,Project Development,24,200,100,NA,2022,zi
533,,West Lake Corridor,2016,Project Development,9,563,NAV,NA,2022,zi
533,,West Lake Corridor,2016,Project Development,9,776,388,NA,2022,zi
533,,West Lake Corridor,2016,Project Development,7.8,890,440,NA,2024,zi
533,,West Lake Corridor,2019,Preliminary Engineering,7.8,933.09,354.57,NA,2025,zi
533,,West Lake Corridor,2020,FFGA/PCGA ,7.8,944.89,354.57,NA,2026,zi
534,,South Shore Line /Double Track Northwest Indiana,2016,Project Development,26.6,354.6,177.2,NA,2020,zi
534,,South Shore Line /Double Track Northwest Indiana,2020,Preliminary Engineering,26.6,456.05,172.96,NA,2024,zi
534,,South Shore Line /Double Track Northwest Indiana,2021,FFGA/PCGA ,26.6,491.12,172.96,NA,2024,zi
535,,New Britain Hartford Busway,2000,Preliminary Engineering,9.6,80,51.6,12.4,2003,zi
535,,New Britain Hartford Busway,2000,Preliminary Engineering,9.6,82,51.6,14,2003,zi
535,,New Britain Hartford Busway,2000,Preliminary Engineering,9.6,160,79.4,48.6,2003,zi
535,,New Britain Hartford Busway,2000,Preliminary Engineering,9.4,175,87.5,51.7,2007,zi
535,,New Britain Hartford Busway,2000,Preliminary Engineering,9.4,335.5,167.8,85,2011,zi
535,,New Britain Hartford Busway,2006,Final Design,9.4,458.78,275.3,92.94,2012,zi
535,,New Britain Hartford Busway,2006,Final Design,9.4,569.31,275.3,180.14,2013,zi
535,,New Britain Hartford Busway,2006,Final Design,9.4,572.69,275.3,184.05,2013,zi
535,,New Britain Hartford Busway,2011,FFGA/PCGA ,9.4,572.69,275.3,179.53,2015,zi
535,,New Britain Hartford Busway,2011,FFGA/PCGA ,9.4,567.05,275.3,179.54,2015,zi
535,,New Britain Hartford Busway,2015,Project Opening,9.4,567,275.3,179.54,2015,zi
536,,Urban Transitway Phase II,2006,Preliminary Engineering,0.6,40,22,9.7,2009,zi
536,,Urban Transitway Phase II,2007,Final Design,0.6,48.31,24.72,1.09,2012,zi
536,,Urban Transitway Phase II,2017,Project Opening,0.06,52,24.72,NAV,2017,zi
537,,Urban Transitway Phase I,2000,Preliminary Engineering,1,24,18,0.2,2005,zi
537,,Urban Transitway Phase I,2003,Final Design,1,49.2,24.79,NAV,NAV,zi
537,,Urban Transitway Phase I,2010,Project Opening,1,65,NAV,NAV,2012,zi
538,,Bridgeport Innermodal Transportation Center Phase 2B and 3,2001,Preliminary Engineering,1,62.4,24.9,5,NAV,zi
539,,High Capacity Transit Corridor Project,2009,Preliminary Engineering,20.1,"5,437.68","1,550.00",304.72,2019,zi
539,,High Capacity Transit Corridor Project,2011,Final Design,20,"5,125.96","1,550.00",248,2019,zi
539,,High Capacity Transit Corridor Project,2012,FFGA/PCGA ,20,"5,121.69","1,550.00",213.9,2020,zi
540,,Primary Corridor Transportation Project,2001,Preliminary Engineering,32,684.3,231.6,186.6,NAV,zi
540,,Primary Corridor Transportation Project,2001,Preliminary Engineering,NAV,700.5,231.6,NAV,NAV,zi
540,,Primary Corridor Transportation Project,2003,FFGA/PCGA ,5.6,50.9,11.9,7.95,NAV,zi
540,,Primary Corridor Transportation Project,2004,Project Cancelled,5.6,50.9,11.9,7.95,NA,zi
541,,Division Avenue/Silver Line BRT,2007,Project Development,9.6,36.68,29.25,NA,2012,zi
541,,Division Avenue/Silver Line BRT,2007,Project Development,9.6,35.29,28.22,NA,2014,zi
541,,Division Avenue/Silver Line BRT,2012,FFGA/PCGA ,9.6,39.86,18.99,12.89,2014,zi
542,,Laker Line BRT,2015,Project Development,13.3,73.7,NAV,NA,2018,zi
542,,Laker Line BRT,2015,Project Development,13.3,71,56.81,NA,2017,zi
542,,Laker Line BRT,2015,Project Development,13.3,70,56.41,NA,2019,zi
542,,Laker Line BRT,2019,CGA,13.3,72.76,56.19,2.02,2020,zi
542,,Laker Line BRT,2020,Project Opening,NAV,72.8,NAV,NAV,2020,zi
543,,Michigan/Grand River BRT,2013,Project Development,8.5,141.85,97.82,15.41,2018,zi
543,,Michigan/Grand River BRT,2013,Project Development,8.5,215.36,74.99,89.47,2016,zi
543,,Michigan/Grand River BRT,2013,Project Development,8.5,163.92,74.99,NAV,2018,zi
544,,Central Avenue Corridor/Albuquerque Rapid Transit BRT Project,2014,Project Development,8.8,126.16,69.02,31.62,2017,zi
544,,Central Avenue Corridor/Albuquerque Rapid Transit BRT Project,2014,Project Development,17,NAV,NAV,NA,2017,zi
544,,Central Avenue Corridor/Albuquerque Rapid Transit BRT Project,2019,CGA,8.8,133.67,75.04,31.9,2017,zi
545,,4th Street/Prater Way BRT Project,2013,Project Development,3.2,52.6,24.6,NA,2017,zi
545,,5th Street/Prater Way BRT Project,2013,Project Development,3.1,52.57,6.47,33.1,2018,zi
545,,6th Street/Prater Way BRT Project,2016,CGA,3.1,52.57,6.47,33.1,2018,zi
546,,Virginia Street BRT Extension Project,2014,Project Development,3.2,80.78,40.39,14.11,2020,zi
546,,Virginia Street BRT Extension Project,2014,Project Development,3.2,98.48,40.39,14.11,2021,zi
546,,Virginia Street BRT Extension Project,2014,Project Development,1.8,27.3,NAV,NA,2018,zi
546,,Virginia Street BRT Extension Project,2014,Project Development,1.8,60,30,NA,2018,zi
546,,Virginia Street BRT Extension Project,2020,CGA,3.2,98.48,40.39,14.11,2021,zi
547,,Resort Corridor Fixed Guideway,1998,Preliminary Engineering,4.7,597,210,105,2006,zi
547,,Resort Corridor Fixed Guideway,1998,Preliminary Engineering,3.1,440,130,156,NAV,zi
547,,Resort Corridor Fixed Guideway,1998,Preliminary Engineering,2.3,324.8,159.7,160.8,NAV,zi
547,,Resort Corridor Fixed Guideway,1998,Preliminary Engineering,5.2,500.3,225.1,NA,NAV,zi
547,,Resort Corridor Fixed Guideway,2005,Final Design,NAV,453.9,416.1,NAV,NAV,zi
547,,Resort Corridor Fixed Guideway,2005,Project Cancelled,NAV,NAV,NAV,NAV,NAV,zi
548,,Maryland Parkway High Capacity Transit Project,2020,Project Development,8.7,345,171,NA,2024,zi
549,,East-West Connector BRT Project/ The AMP,2014,Project Development,7.1,174,74.99,4,2016,zi
549,,East-West Connector BRT Project/ The AMP,2015,Project Cancelled,NAV,NAV,NAV,NAV,NAV,zi
550,,East Corridor Commuter Rail,1999,Preliminary Engineering,31.1,33.2,22.9,3.7,NAV,zi
550,,East Corridor Commuter Rail,1999,Preliminary Engineering,31.1,30,22.9,NA,NAV,zi
550,,East Corridor Commuter Rail,2001,Final Design,32,33.2,22.9,3.7,NAV,zi
550,,East Corridor Commuter Rail,2001,Final Design,32,37.6,23,7.1,NAV,zi
550,,East Corridor Commuter Rail,2003,Final Design,32,41,24,8.4,2006,zi
551,,Medical Center Extension,1998,Preliminary Engineering,2.5,35.9,24.3,NA,2004,zi
551,,Medical Center Extension,1998,Preliminary Engineering,2.5,69.1,55.3,NA,2004,zi
551,,Medical Center Extension,2000,FFGA/PCGA ,2,74.58,59.67,NA,2004,zi
551,,Medical Center Extension,2004,Project Opening,2.5,60,48,NA,2004,zi
552,,Memphis Innovation Corridor Project,2020,Project Development,8,76,NAV,NA,2026,zi
553,,Dulles Corridor Metrorail Project Extension to Wiehle Avenue ,2000,Preliminary Engineering,23.5,389.1,233.5,1,NAV,zi
553,,Dulles Corridor Metrorail Project Extension to Wiehle Avenue ,2000,Preliminary Engineering,23,279.8,217.8,5,NAV,zi
553,,Dulles Corridor Metrorail Project Extension to Wiehle Avenue ,2000,Preliminary Engineering,23.5,357.1,214.3,NA,NAV,zi
553,,Dulles Corridor Metrorail Project Extension to Wiehle Avenue ,2004,Preliminary Engineering,11.6,"2,065.00",900,145,2012,zi
553,,Dulles Corridor Metrorail Project Extension to Wiehle Avenue ,2004,Preliminary Engineering,11.6,"1,840.10",920,NA,2011,zi
553,,Dulles Corridor Metrorail Project Extension to Wiehle Avenue ,2008,Final Design,11.7,"3,142.47",900,75,2014,zi
553,,Dulles Corridor Metrorail Project Extension to Wiehle Avenue ,2009,FFGA/PCGA ,11.7,"3,142.47",900,75,2014,zi
554,,East West Corridor BRT,2016,Project Development,9.1,53.46,37.42,2.27,2020,zi
554,,East West Corridor BRT,2016,Project Development,9.1,54.79,40.93,2.27,2021,zi
555,,Madison East West Bus Rapid Transit,2020,Project Development,15,130,NAV,NA,2024,zi
556,,Pawtucket Central Falls Commuter Rail Station,2010,Preliminary Engineering,0,53.64,24.99,11,2018,zi
557,,Rhode Island Commuter Rail Improvement,2001,Final Design,NAV,18.5,10,4.7,2002,zi
558,,South County Commuter Rail,2004,Preliminary Engineering,20,43.7,24.9,9.9,NAV,zi
558,,South County Commuter Rail,2007,Final Design,20,49.2,24.9,14.41,2011,zi
558,,South County Commuter Rail,2010,CGA,20,49.15,24.9,14.41,2012,zi
559,,Transportation Tomorrow South Central Corridor LRT,2001,Preliminary Engineering,15,640,NAV,37.6,NAV,zi
559,,Transportation Tomorrow South Central Corridor LRT,2001,Preliminary Engineering,15,671.2,380.2,49.8,NAV,zi
560,,Wake BRT - Western Corridor Project,2020,Project Development,12,180,NAV,NA,2026,zi
,,,,,,,,,,
,,,,,,,,,,
137,,Lynnwood Link Extension,2017,Preliminary Engineering,8.5,"2,347.70","1,172.73",NAV,NAV,cam
137,,Lynnwood Link Extension,2018,Preliminary Engineering,8.5,"3,069.40","1,172.73",NAV,NAV,cam
137,,Lynnwood Link Extension,2018,FFGA/PCGA ,8.5,"3,260.40","1,172.73",0,2024,cam
112,,MAX Red Line Extension and Reliability Improvements,2021,Project Development,NAV,206,100,NAV,NAV,cam
112,,MAX Red Line Extension and Reliability Improvements,2021,FFGA/PCGA ,NAV,NAV,NAV,NAV,NAV,cam
